Idx,Comment,Code,License,Label,Author,Datasets,Packages,Output Types,Output Names,Source,Title,Project description,Domain,Publication date,Date modified,DOI
2146 get_looks.R 27,set to current trial duration to 0,"current_trial_total_duration[[hn]] <- 0 } current_trial_total_looks[[hn]] <- 0 } current_first_look_duration[[hn]] <- 0 current_first_look_ending_reason[[hn]] <- """" first_looks_collection[[hn]]$found_first <- FALSE first_looks_collection[[hn]]$forced_stop <- FALSE } ",CC-By Attribution 4.0 International,Data Variable,Maleen Thiele,None,None,None,None,https://osf.io/mp9td/,Investigating the Communication-Induced Memory Bias in the Context of Third-Party Social Interactions,"In this study we used a screen-based violation of expectation (VOE) paradigm to investigate whether 9-month-old infants process qualitatively different information about novel objects when an object is introduced in a third-party joint visual attention versus an observed non-joint social interaction context. In 12 test trial videos, an object was shown together with two adults (action phase). The interpersonal sharedness between the two actors was manipulated in a way that they either look at the object together after previous mutual eye contact or they look at it individually without sharing mutual eye contact at any point. After each video, the scene was occluded before it revealed one of three different outcomes: the object infants had just seen in the action phase (no change, baseline), the object they had just seen but at a novel position (location change), or a new object (identity change). By manipulating both the third-party joint attention context and features of the object in the subsequent outcome phase, we aimed to examine whether observed communicative context biases infants to encode surface features which support learning about object kinds (i.e., object identity) over spatial-temporal information (i.e., object location).

Note: In the overall study (published in Open Mind: https://doi.org/10.1162/opmi_a_00114), we refer to this project as “Experiment 2”. This OSF project is directly linked to the OSF project "" Investigating the Role of Gaze Cues on the Communication-Induced Memory Bias"" (https://osf.io/t4yqj/).  
    Hosted on the Open Science Framework",Social Science,2021-10-24,2023-12-13,None
9973 exp1bDead-MNL-SAT-A.r 11,Return sum log likelihood. Include protection against log(0) problems,"return(sum(log(pmax(like, 1e-10)))) } else { ",Other,Statistical Modeling,Jon-Paul Cavallaro,None,"['tidyverse', 'mvtnorm', 'pmwg']",None,None,https://osf.io/tbczv/,Psychological theories of preferential choices under time pressure are more consistent than descriptive theories,"Repository for data and R code to perform the speed-accuracy tradeoff modelling reported in Cavallaro & Hawkins. Psychological theories of preferential choices under time pressure are more consistent than descriptive theories 
    Hosted on the Open Science Framework",Psychology,2021-12-14,2022-07-29,None
331 stan_CON_adriana_pools5i.r 13,Plot posterior fit and forward simulation prediction,"plot_fits <- function(stan_fit_ex, N_t, N_p, obs_times, pred_times, data_vector, S_0, D_0, M_0, filename) { sigma_hat <- median(stan_fit_ex$sigma) CO2_flux_ratios_hat_median <- rep(NA, N_t) #Pre-allocate vector for median model fit CO2_flux_ratios_pred_median <- rep(NA, N_p) sigma_hat <- median(stan_fit_ex$sigma) for (t in 1:N_t) { CO2_flux_ratios_hat_median[t] <- median(stan_fit_ex$CO2_flux_ratios_hat_vector[,t]) } for (t in 1:N_p) { CO2_flux_ratios_pred_median[t] <- median(stan_fit_ex$CO2_flux_ratios_new_vector[,t]) } ",Mozilla Public License 2.0,Visualization,Hua Xie,['adriana_data_s_min.csv'],"['rstan', 'loo', 'bayesplot', 'coda']",None,None,https://osf.io/7mey8/,A Bayesian Approach to Evaluation of Soil Biogeochemical Models Meta-analysis Data and R and Stan Code,"Code, scripts, and data output corresponding to the ""A Bayesian Approach to Evaluation of Soil Biogeochemical Model"" manuscript by Xie et al. 
    Hosted on the Open Science Framework",Social Science,2020-02-19,2020-07-07,10.17605/OSF.IO/7MEY8
5421 experiment1c_analyses.R 8,fit linear mixed effects models  null model,"fitlmer0 <- lmer(rating ~ 1 + (1|subject), data = dat.long1, REML = FALSE) summary(fitlmer0) ",CC-By Attribution 4.0 International,Statistical Modeling,Linda W. Chang,['experiment1c_data.csv'],"['effects', 'effects', 'emmeans', 'emmeans', 'Hmisc', 'Hmisc', 'lme4', 'lme4', 'lmerTest', 'lmerTest', 'MuMIn', 'MuMIn', 'reshape2', 'reshape2', 'scales', 'scales']",None,None,https://osf.io/eg6w5/,Social Decoys: Leveraging Choice Architecture to Alter Social Preferences,"Many of society's most significant social decisions are made over sets of individuals: for example, evaluating a collection of job candidates when making a hiring decision. Rational theories of choice dictate that decision makers' preferences between any two options should remain the same irrespective of the number or quality of other options. Yet people's preferences for each option in a choice set shift in predictable ways as function of the available alternatives. These violations are well documented in consumer behavior contexts: for example, the decoy effect, in which introducing a third inferior product changes consumers' preferences for two original products. The current experiments test the efficacy of social decoys and harness insights from computational models of decision-making to examine whether choice set construction can be used to change preferences in a hiring context. Across seven experiments (N = 6312) we find that participants have systematically different preferences for the exact same candidate as a function of the other candidates in the choice set (Experiments 1a-1d, 2) and the salience of the candidate attributes under consideration (Experiments 2, 3a, 3b). Specifically, compromise and (often) asymmetric-dominance decoys increased relative preference for their yoked candidates when candidates were counter-stereotypical (e.g., high warmth/low competence male candidate). More importantly, we demonstrate for the first time that we can mimic the effect of a decoy in the absence of a third candidate by manipulating participants' exposure to candidates' attributes: balanced exposure to candidates' warmth and competence information significantly reduced bias between the two candidates. 
    Hosted on the Open Science Framework",Social Science,2017-03-19,2018-09-27,None
10147 pmwg-DIC.r 2,the mean of each parameter across iterations. Keep dimensions for parameters and subjects,"mean.params <- t(apply(sampled$samples$alpha[,,keep],1:2,mean)) ",CC-By Attribution 4.0 International,Statistical Modeling,Guy Hawkins,None,None,None,None,https://osf.io/wbyj7/,Speed-Accuracy Tradeoffs In Decision Making: Perception Shifts And Goal Activation Bias Decision Thresholds,"This page contains data and R code to perform the speed-accuracy tradeoff modelling reported in Larson & Hawkins. Speed-accuracy tradeoffs in decision making: Perception shifts and goal activation bias decision thresholds.

The README file describes the structure of the repository. It is designed to be downloaded as a complete zipped directory. 

Any questions? Feel free to contact me at guy.hawkins@newcastle.edu.au
 
    Hosted on the Open Science Framework",Psychology,2021-10-26,2021-11-01,None
11578 BCA_activity_answers.R 2,plot the calibration curve (Abs vs. [BSA]) with an appropriate trendline and figure caption,"ggplot(bca, aes(x = BSA, y = Abs562)) + ",CC-By Attribution 4.0 International,Visualization,Christopher Berndsen,['BCAdata.csv'],None,None,None,https://osf.io/9e3cu/,R for Chemists and Biochemists materials and resources,"Code and resources for chemists and biochemists learning R 
    Hosted on the Open Science Framework",Psychology,2021-06-19,2021-06-28,None
11593 04_simulation_continuous_predictor.R 8,generate MPT data:,"gendat <- genMPT(theta = pnorm(theta), restrictions = ""model/restrictions.txt"", numItems = numItems, eqnfile=""model/2htsm.eqn"") ",CC-By Attribution 4.0 International,Data Variable,Daniel W. Heck,None,"['TreeBUGS', 'MASS', 'dplyr']",None,None,https://osf.io/s82bw/,TreeBUGS: An R Package for Hierarchical Multinomial-Processing-Tree Modeling,"Online Appendix for the TreeBUGS Paper in Behavior Research Methods 
    Hosted on the Open Science Framework",Psychology,2016-09-06,2017-04-05,None
7760 BRMS + Figure4.R 3,Recode confirm(oppose/confirm) and won(win/lost) to factors,"DF$confirm <- recode(DF$confirm, `0` = ""Confirmed"", `1` = ""Opposed"") DF$won <- recode(DF$won, `0` = ""Lost"", `1` = ""Won"") DF <- DF %>% mutate(confirm = as_factor(confirm)) %>% mutate(treatment = as_factor(treatment)) %>% mutate(won = as_factor(won)) %>% mutate(majmin = as_factor(majmin)) %>% mutate(experiment = as_factor(experiment)) %>% mutate(evidence = as_factor(evidence)) summary(DF) ",CC-By Attribution 4.0 International,Data Variable,Ralf Kurvers,"['Data.Exp0.csv', 'Data.Exp3.csv', 'Data.Exp4.csv', 'Data.Exp2.csv', 'Data.Exp6.csv', 'Data.Exp5.csv', 'Data.Exp1.csv']","['tidyverse', 'brms', 'tidybayes', 'ggeffects', 'ggplot2', 'cowplot']",None,None,https://osf.io/9gjyc/,Strategic disinformation outperforms honesty in competition for social influence,"Investigating strategies of how advisors can sway voters 
    Hosted on the Open Science Framework",Social Science,2019-02-26,2021-11-19,None
7760 BRMS + Figure4.R 7,create unique id number for each unique individual,"mutate(uniq.id = group_indices(., id, experiment)) %>% mutate(uniq.id = as_factor(uniq.id)) summary(Ind_E1) M_Ind_E1 <- brm(changed ~ won*confirm + trial + (1|uniq.id), data = Ind_E1, family = ""bernoulli"", iter = 6000, chains = 3, cores = 3, save_all_pars = TRUE, file = ""Ind_E1"") summary(M_Ind_E1) plot(M_Ind_E1, ask = FALSE) pp_check(M_Ind_E1, check = ""distributions"") pp_check(M_Ind_E1, check = ""residuals"") pp_check(M_Ind_E1, ""error_scatter_avg"") pp_check(M_Ind_E1, check = ""scatter"") ",CC-By Attribution 4.0 International,Data Variable,Ralf Kurvers,"['Data.Exp0.csv', 'Data.Exp3.csv', 'Data.Exp4.csv', 'Data.Exp2.csv', 'Data.Exp6.csv', 'Data.Exp5.csv', 'Data.Exp1.csv']","['tidyverse', 'brms', 'tidybayes', 'ggeffects', 'ggplot2', 'cowplot']",None,None,https://osf.io/9gjyc/,Strategic disinformation outperforms honesty in competition for social influence,"Investigating strategies of how advisors can sway voters 
    Hosted on the Open Science Framework",Social Science,2019-02-26,2021-11-19,None
5888 Within-paradigm.R 2,generates 95% confidence intervals for each beta coefficient,"m.p1_decision.CI <- round(confint(m.p1_decision, parm = ""beta_""), 3) ",CC-By Attribution 4.0 International,Statistical Test,Justin Chung,None,"['lme4', 'lmerTest']",None,None,https://osf.io/uygpq/,Data and code for The Role of Emotion Regulation and Choice Repetition Bias in the Ultimatum Game,Hosted on the Open Science Framework,Social Science,2021-10-21,2021-10-21,None
10904 Dataprep-ParticipantResponses.R 22,exclude people who don't meet the inclusion criteria of having data for at least 3 days in each week,"person_weekly_entries <- dat2019 %>% group_by(identity_id, woy)  %>% summarise(n_days = length(identity_id)) person_weekly_entries <- as.data.frame(person_weekly_entries) person_weekly_entries <- subset(person_weekly_entries, n_days >= 3) ",CC-By Attribution 4.0 International,Data Variable,Sandrine Müller,"['Output_Diagnosis_scores_t1.csv', 'Output_Diagnosis_scores_t2.csv', 'Output_happiness_score_t2.csv', 'Output_item_level.csv', 'Output_happiness_score_t1.csv', 'mood_daily_perperson.csv', 'Output_Diagnosis_score_t3.csv', 'social_distancing_perperson.csv', 'depression_daily_perperson.csv', 'Output_happiness_score_t3.csv']","['dplyr', 'ggplot2', 'TTR', 'psych', 'tidyr']",{'CSV'},"{'Weekly_depression_perperson_complete.csv', 'Daily_mood_perperson_complete.csv', 'IDs and US states.csv'}",https://osf.io/wyrav/,"The Impact of the Early Stages of COVID-19 on Mental Health in the United States, Germany, and the United Kingdom",Hosted on the Open Science Framework,Psychology,2020-07-19,2022-12-12,None
11676 AnalysisCode.R 64," construct a maximal glmer() model  This model contains a fixed withinsubjects effect of Ambiguity (effectcoded with 0.5 amb),  and betweensubjects fixed effects for Vocabulary and ART test scores,  plus random effects by participants and items. ","Acc.max <- glmer(accuracy ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CohOnly, family = ""binomial"", control = glmerControl(optimizer =""bobyqa"")) ",CC-By Attribution 4.0 International,Statistical Modeling,Lena Maria Blott,"['~/Data_AllTrials_NA.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbCohUAOnly.csv', '~Data_ExpTrials.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbAnomUAOnly.csv']","['lme4', 'ggplot2', 'devtools']",None,None,https://osf.io/hn3bu/,Recovery from misinterpretations during online sentence processing,"Data and code for the eye-tracking experiment reported in: 

Blott, L. M., Rodd, J. M., Ferreira, F., & Warren, J. E. (2020). Recovery from misinterpretations during online sentence processing. Journal of Experimental Psychology: Learning, Memory, and Cognition. Advance online publication. https://doi.org/10.1037/xlm0000936 
    Hosted on the Open Science Framework",Psychology,2019-04-22,2021-02-17,10.17605/OSF.IO/HN3BU
11676 AnalysisCode.R 80," construct a maximal lmer() model  This model contains a fixed withinsubjects effect of Ambiguity (effectcoded with 0.5 amb),  and betweensubjects fixed effects for Vocabulary and ART test scores,  plus random effects by participants and items.  Maximal model with interactions ","TrialDwellTime.max <- lmer(logTrialDwellTime ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) ",CC-By Attribution 4.0 International,Statistical Modeling,Lena Maria Blott,"['~/Data_AllTrials_NA.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbCohUAOnly.csv', '~Data_ExpTrials.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbAnomUAOnly.csv']","['lme4', 'ggplot2', 'devtools']",None,None,https://osf.io/hn3bu/,Recovery from misinterpretations during online sentence processing,"Data and code for the eye-tracking experiment reported in: 

Blott, L. M., Rodd, J. M., Ferreira, F., & Warren, J. E. (2020). Recovery from misinterpretations during online sentence processing. Journal of Experimental Psychology: Learning, Memory, and Cognition. Advance online publication. https://doi.org/10.1037/xlm0000936 
    Hosted on the Open Science Framework",Psychology,2019-04-22,2021-02-17,10.17605/OSF.IO/HN3BU
11676 AnalysisCode.R 89," _firstfixation duration   Construct a maximal lmer() model  Because not all the necessary models converge, remove correlations between  random effects for all models for the firstfixation duration measure: ","AOIKey.FF.reduced <- lmer(logFirstFixDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 | RECORDING_SESSION_LABEL) + (0 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 | item) + (0 + Vocab.Cent | item) + (0 + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) AOICohcue.FF.reduced <- lmer(logFirstFixDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 | RECORDING_SESSION_LABEL) + (0 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 | item) + (0 + Vocab.Cent | item) + (0 + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) ",CC-By Attribution 4.0 International,Statistical Modeling,Lena Maria Blott,"['~/Data_AllTrials_NA.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbCohUAOnly.csv', '~Data_ExpTrials.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbAnomUAOnly.csv']","['lme4', 'ggplot2', 'devtools']",None,None,https://osf.io/hn3bu/,Recovery from misinterpretations during online sentence processing,"Data and code for the eye-tracking experiment reported in: 

Blott, L. M., Rodd, J. M., Ferreira, F., & Warren, J. E. (2020). Recovery from misinterpretations during online sentence processing. Journal of Experimental Psychology: Learning, Memory, and Cognition. Advance online publication. https://doi.org/10.1037/xlm0000936 
    Hosted on the Open Science Framework",Psychology,2019-04-22,2021-02-17,10.17605/OSF.IO/HN3BU
11676 AnalysisCode.R 96,_gaze duration   Construct a maximal lmer() model,"AOIKey.GazeDur.max <- lmer(logGazeDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) AOICohcue.GazeDur.max <- lmer(logGazeDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) AOISpillover.GazeDur.max <- lmer(logGazeDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) ",CC-By Attribution 4.0 International,Statistical Modeling,Lena Maria Blott,"['~/Data_AllTrials_NA.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbCohUAOnly.csv', '~Data_ExpTrials.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbAnomUAOnly.csv']","['lme4', 'ggplot2', 'devtools']",None,None,https://osf.io/hn3bu/,Recovery from misinterpretations during online sentence processing,"Data and code for the eye-tracking experiment reported in: 

Blott, L. M., Rodd, J. M., Ferreira, F., & Warren, J. E. (2020). Recovery from misinterpretations during online sentence processing. Journal of Experimental Psychology: Learning, Memory, and Cognition. Advance online publication. https://doi.org/10.1037/xlm0000936 
    Hosted on the Open Science Framework",Psychology,2019-04-22,2021-02-17,10.17605/OSF.IO/HN3BU
11676 AnalysisCode.R 97,_regressions out   Construct a maximal glmer() model,"AOIKey.RegrOut.max <- glmer(IA_REGRESSION_OUT ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, family = ""binomial"", control = glmerControl(optimizer =""bobyqa"")) AOICohcue.RegrOut.max <- glmer(IA_REGRESSION_OUT ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, family = ""binomial"", control = glmerControl(optimizer =""bobyqa"")) AOISpillover.RegrOut.max <- glmer(IA_REGRESSION_OUT ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, family = ""binomial"", control = glmerControl(optimizer =""bobyqa"")) AOISpillover.RegrOut.max <- glmer(IA_REGRESSION_OUT ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, family = ""binomial"", control = glmerControl(optimizer =""bobyqa"")) ",CC-By Attribution 4.0 International,Statistical Modeling,Lena Maria Blott,"['~/Data_AllTrials_NA.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbCohUAOnly.csv', '~Data_ExpTrials.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbAnomUAOnly.csv']","['lme4', 'ggplot2', 'devtools']",None,None,https://osf.io/hn3bu/,Recovery from misinterpretations during online sentence processing,"Data and code for the eye-tracking experiment reported in: 

Blott, L. M., Rodd, J. M., Ferreira, F., & Warren, J. E. (2020). Recovery from misinterpretations during online sentence processing. Journal of Experimental Psychology: Learning, Memory, and Cognition. Advance online publication. https://doi.org/10.1037/xlm0000936 
    Hosted on the Open Science Framework",Psychology,2019-04-22,2021-02-17,10.17605/OSF.IO/HN3BU
11676 AnalysisCode.R 121,_firstfixation duration   Construct a maximal lmer() model,"AOISpillover.FF.max <- lmer(logFirstFixDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) AOIWrapUp.FF.max <- lmer(logFirstFixDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) AOICohcue.FF.max <- lmer(logFirstFixDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent  | item), data = Data.CorrTrials, REML=FALSE) AOISpillover.FF.max <- lmer(logFirstFixDur ~ 1 + Ambiguity.code  + Vocab.Cent + ART.Cent + Ambiguity.code : Vocab.Cent + Ambiguity.code : ART.Cent + (1 + Ambiguity.code | RECORDING_SESSION_LABEL) + (1 + Vocab.Cent + ART.Cent | item), data = Data.CorrTrials, REML=FALSE) ",CC-By Attribution 4.0 International,Statistical Modeling,Lena Maria Blott,"['~/Data_AllTrials_NA.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbCohUAOnly.csv', '~Data_ExpTrials.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition.csv', '~/PROJECTS/2018Exp_EyetrackingUS/Eyetracking_PlausJudg/Report/Preprint/BehaviouralData_ByCondition_CohAmbAnomUAOnly.csv']","['lme4', 'ggplot2', 'devtools']",None,None,https://osf.io/hn3bu/,Recovery from misinterpretations during online sentence processing,"Data and code for the eye-tracking experiment reported in: 

Blott, L. M., Rodd, J. M., Ferreira, F., & Warren, J. E. (2020). Recovery from misinterpretations during online sentence processing. Journal of Experimental Psychology: Learning, Memory, and Cognition. Advance online publication. https://doi.org/10.1037/xlm0000936 
    Hosted on the Open Science Framework",Psychology,2019-04-22,2021-02-17,10.17605/OSF.IO/HN3BU
11130 P2_analysis_newbins.R 5,Creating subsets of coins by time period and obtaining measures for each of the time periods,"for (i in dates) { dsub <- (subset(df, df$DATE == i)) motifs <- cbind(dsub[318:681]) denom <- cbind(dsub[256:309]) DATE[i] <- i HDenomination[i] <- entropy(denom) HMotifs[i] <- entropy(motifs) CEDenominationsMotifs[i] <- condentropy(denom, motifs) NormCEDenominationsMotifs[i] <- condentropy(denom, motifs) / entropy(denom) CEMotifsDenominations[i] <- condentropy(motifs, denom) NormCEMotifsDenominations[i] <- condentropy(motifs, denom) / entropy(motifs) MI[i] <- mutinformation(denom, motifs) NDenominations[i] <- length(unique(dsub$DENOMINATION)) NCoins[i] <- length(unique(dsub$ID)) } ",CC-By Attribution 4.0 International,Data Variable,Barbara Pavlek,['2018_01_10_CoinImagesAll.csv'],"['infotheo', 'ggplot2', 'ggplot2', 'ggplot2', 'ggplot2', 'lme4', 'lme4']",{'CSV'},"{'P2analysis_newbins_results.csv', 'P2analysis_newbins_results_bypolis.csv'}",https://osf.io/uckzx/,Heads & Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE),Hosted on the Open Science Framework,Psychology,2017-11-06,2021-01-31,None
11130 P2_analysis_newbins.R 7,STATISTICAL TESTING: nonparametric Spearman's correlation nonnormalized conditional entropy,"cor.test(results$DATE, results$CEDenominationsMotifs, method = ""spearman"") rdates <- rev(dates) #dates = years BCE plot(results$DATE, results$CEDenominationsMotifs, xlim = c(600,330), xaxt='n', xlab = ""YEAR BCE"", ylab = ""H(D|d)"", main = ""P2: Conditional entropy of denomination given designs"") axis(1, at = rdates, labels = rdates) ",CC-By Attribution 4.0 International,Statistical Test,Barbara Pavlek,['2018_01_10_CoinImagesAll.csv'],"['infotheo', 'ggplot2', 'ggplot2', 'ggplot2', 'ggplot2', 'lme4', 'lme4']",{'CSV'},"{'P2analysis_newbins_results.csv', 'P2analysis_newbins_results_bypolis.csv'}",https://osf.io/uckzx/,Heads & Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE),Hosted on the Open Science Framework,Psychology,2017-11-06,2021-01-31,None
11130 P2_analysis_newbins.R 12,"Plots with H(D|d)  nonnormalized conditional entropy Getting mean, median and standard deviation across different authorities per period for nonnormalized conditional entropy of denomination given designs ","N <- aggregate(CEDenominationsMotifs ~ DATE, data = resultspoleis, FUN = length) MEAN <- aggregate(CEDenominationsMotifs ~ DATE, data = resultspoleis, FUN = mean) MEDIAN <- aggregate(CEDenominationsMotifs ~ DATE, data = resultspoleis, FUN = median) SD <- aggregate(CEDenominationsMotifs ~ DATE, data = resultspoleis, FUN = sd) resultspoleis_summary <- cbind.data.frame(N, MEAN$CEDenominationsMotifs, MEDIAN$CEDenominationsMotifs, SD$CEDenominationsMotifs) colnames(resultspoleis_summary) <- c(""DATE"",""N"",""MEAN"",""MEDIAN"",""SD"") resultspoleis_summary$SE <- resultspoleis_summary$SD / sqrt(resultspoleis_summary$N) ",CC-By Attribution 4.0 International,Visualization,Barbara Pavlek,['2018_01_10_CoinImagesAll.csv'],"['infotheo', 'ggplot2', 'ggplot2', 'ggplot2', 'ggplot2', 'lme4', 'lme4']",{'CSV'},"{'P2analysis_newbins_results.csv', 'P2analysis_newbins_results_bypolis.csv'}",https://osf.io/uckzx/,Heads & Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE),Hosted on the Open Science Framework,Psychology,2017-11-06,2021-01-31,None
11130 P2_analysis_newbins.R 13,Plot mean and median H(D|d) across authorities per period,"require(ggplot2) ggmean <- ggplot(resultspoleis_summary,aes(x=DATE,y=MEAN)) + labs(title =  ""P2: Mean conditional entropy of denominations given designs across authorities"", x = ""Year BCE"", y = ""mean H(D|d) across authorities"") + scale_x_reverse() + geom_errorbar(aes(ymin=resultspoleis_summary$MEAN-resultspoleis_summary$SE, ymax=resultspoleis_summary$MEAN+resultspoleis_summary$SE),width=.1) + geom_line() + geom_point() ggmean ggmedian <- ggplot(resultspoleis_summary,aes(x=DATE,y=MEDIAN)) + labs(title =  ""P2: Median conditional entropy of denominations given designs across authorities"", x = ""Year BCE"", y = ""median H(D|d) across authorities"") + scale_x_reverse() + geom_line() + geom_point() ggmedian ",CC-By Attribution 4.0 International,Visualization,Barbara Pavlek,['2018_01_10_CoinImagesAll.csv'],"['infotheo', 'ggplot2', 'ggplot2', 'ggplot2', 'ggplot2', 'lme4', 'lme4']",{'CSV'},"{'P2analysis_newbins_results.csv', 'P2analysis_newbins_results_bypolis.csv'}",https://osf.io/uckzx/,Heads & Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE),Hosted on the Open Science Framework,Psychology,2017-11-06,2021-01-31,None
